PartitionKey,arrival_time,departure_time,duration,journey,min_price,orange_fri_price,orange_price,trip_date
Aalborg St.-Aarhus,08:08,06:54,01:14,ICL 4022,68.0,109.0,68.0,2026-01-16
Aalborg St.-Aarhus,16:38,15:09,01:29,IC   4156,123.0,170.0,123.0,2025-11-23
Aalborg St.-Aarhus,21:38,20:08,01:30,IC   4176,56.0,92.0,56.0,2026-01-10
Aalborg St.-Aarhus,21:08,19:50,01:18,ICL 4072,64.0,109.0,64.0,2025-12-21
Aalborg St.-Aarhus,11:08,09:59,01:09,ICL 4034,123.0,181.0,123.0,2025-11-23
Aalborg St.-Aarhus,01:43,00:15,01:28,IC  74192,104.0,164.0,104.0,2025-11-23
Aalborg St.-Aarhus,17:08,15:59,01:09,ICL 4058,115.0,136.0,115.0,2025-12-09
Aalborg St.-Aarhus,15:08,13:25,01:43,IC   4148 -> Togbus LILLA,56.0,92.0,56.0,2026-01-20
Aalborg St.-Aarhus,13:38,12:08,01:30,IC   4144,68.0,96.0,68.0,2026-01-04
Aalborg St.-Aarhus,12:08,10:54,01:14,ICL 4038,64.0,109.0,64.0,2025-12-17
Aalborg St.-Aarhus,21:08,19:59,01:09,ICL 4074,64.0,109.0,64.0,2025-12-07
Aalborg St.-Aarhus,11:38,10:06,01:32,IC   4336,56.0,92.0,56.0,2026-01-02
Aalborg St.-Aarhus,18:38,17:07,01:31,IC   4364,136.0,164.0,136.0,2025-11-24
Aalborg St.-Aarhus,00:30,23:01,01:29,IC   4190,56.0,92.0,56.0,2025-12-23
Aalborg St.-Aarhus,01:30,00:01,01:29,IC   4192,56.0,92.0,56.0,2025-12-17
Aalborg St.-Aarhus,16:08,14:59,01:09,ICL 4054,104.0,123.0,104.0,2025-12-12
Aalborg St.-Aarhus,18:08,16:50,01:18,ICL 4060,99.0,123.0,99.0,2025-12-14
Aalborg St.-Aarhus,14:08,12:59,01:09,ICL 4046,64.0,109.0,64.0,2025-12-13
Aalborg St.-Aarhus,19:08,17:59,01:09,ICL 4066,64.0,109.0,64.0,2025-12-13
Aalborg St.-Aarhus,20:38,19:06,01:32,IC   4372,56.0,92.0,56.0,2025-12-15
Aalborg St.-Aarhus,09:08,07:50,01:18,ICL 4024,104.0,123.0,104.0,2025-12-25
Aalborg St.-Aarhus,17:38,16:07,01:31,IC   4360,115.0,136.0,115.0,2025-12-08
Aalborg St.-Aarhus,21:08,19:54,01:14,ICL 4074,104.0,123.0,104.0,2026-01-09
Aalborg St.-Aarhus,01:30,00:01,01:29,IC   4192,56.0,92.0,56.0,2026-01-14
Aalborg St.-Aarhus,18:08,16:54,01:14,ICL 4062,68.0,109.0,68.0,2025-12-18
Aalborg St.-Aarhus,22:38,21:04,01:34,IC  54182,212.0,,,2025-12-02
Aalborg St.-Aarhus,23:38,22:08,01:30,IC   4184,56.0,92.0,56.0,2026-01-01
Aalborg St.-Aarhus,18:44,17:03,01:41,ICL 4062 -> Togbus LILLA,104.0,124.0,104.0,2026-01-18
Aalborg St.-Aarhus,19:38,18:09,01:29,IC   4168,68.0,109.0,68.0,2025-12-10
Aalborg St.-Aarhus,20:38,19:06,01:32,IC   4372,56.0,92.0,56.0,2025-12-30
Aalborg St.-Aarhus,08:08,06:54,01:14,ICL 4022,68.0,109.0,68.0,2026-01-06
Aalborg St.-Aarhus,11:08,09:59,01:09,ICL 4034,79.0,109.0,79.0,2025-12-12
Aalborg St.-Aarhus,08:38,07:06,01:32,IC   4324,104.0,123.0,104.0,2025-12-15
Aalborg St.-Aarhus,01:18,23:50,01:28,IC  74192,56.0,92.0,56.0,2025-12-06
Aalborg St.-Aarhus,09:38,08:08,01:30,IC   4128,56.0,92.0,56.0,2025-12-27
Aalborg St.-Aarhus,20:08,18:54,01:14,ICL 4070,104.0,123.0,104.0,2026-01-02
Aalborg St.-Aarhus,10:08,08:59,01:09,ICL 4030,115.0,164.0,115.0,2025-11-27
Aalborg St.-Aarhus,22:19,20:08,02:11,IC   4176 -> RA 5490 -> Togbus 15490,212.0,,,2026-01-16
Aalborg St.-Aarhus,21:08,19:59,01:09,ICL 4074,68.0,109.0,68.0,2025-12-01
Aalborg St.-Aarhus,20:08,18:54,01:14,ICL 4070,68.0,109.0,68.0,2026-01-13
Aalborg St.-Aarhus,01:18,23:50,01:28,IC  54192,56.0,92.0,56.0,2025-12-12
Aalborg St.-Aarhus,12:38,11:07,01:31,IC   4340,96.0,123.0,96.0,2025-11-24
Aalborg St.-Aarhus,08:08,06:59,01:09,ICL 4022,87.0,123.0,87.0,2025-12-02
Aalborg St.-Aarhus,20:38,19:08,01:30,IC   4172,56.0,92.0,56.0,2025-12-20
Aalborg St.-Aarhus,22:38,21:09,01:29,IC   4180,56.0,92.0,56.0,2025-11-29
Aalborg St.-Aarhus,19:38,18:09,01:29,IC   4168,68.0,109.0,68.0,2025-12-09
Aalborg St.-Aarhus,20:11,18:17,01:54,Togbus ORANGE,212.0,,,2025-12-11
Aalborg St.-Aarhus,22:38,21:08,01:30,IC   4182,56.0,92.0,56.0,2025-12-30
Aalborg St.-Aarhus,14:08,12:25,01:43,IC   4144 -> Togbus LILLA,56.0,92.0,56.0,2026-01-21
Aalborg St.-Aarhus,08:08,06:50,01:18,ICL 4020,64.0,109.0,64.0,2025-12-21
Aalborg St.-Aarhus,01:30,00:01,01:29,IC   4192,56.0,92.0,56.0,2026-01-08
Aalborg St.-Aarhus,19:08,17:59,01:09,ICL 4066,181.0,181.0,,2025-11-24
Aalborg St.-Aarhus,21:08,19:59,01:09,ICL 4074,64.0,109.0,64.0,2025-12-08
Aalborg St.-Aarhus,01:30,00:01,01:29,IC   4192,56.0,92.0,56.0,2025-12-28
Aalborg St.-Aarhus,07:08,05:54,01:14,ICL 4018,64.0,109.0,64.0,2026-01-09
Aalborg St.-Aarhus,21:08,19:50,01:18,ICL 4072,64.0,109.0,64.0,2026-01-03
Aalborg St.-Aarhus,01:30,00:01,01:29,IC   4192,56.0,92.0,56.0,2026-01-16
Aalborg St.-Aarhus,17:38,16:06,01:32,IC   4360,96.0,109.0,96.0,2026-01-06
Aalborg St.-Aarhus,18:08,16:54,01:14,ICL 4062,115.0,136.0,115.0,2026-01-05
Aalborg St.-Aarhus,19:38,18:09,01:29,IC   4168,68.0,109.0,68.0,2025-12-08
Aalborg St.-Aarhus,11:08,09:59,01:09,ICL 4034,99.0,170.0,99.0,2025-12-06
Aalborg St.-Aarhus,22:38,21:09,01:29,IC   4182,60.0,96.0,60.0,2025-11-25
Aalborg St.-Aarhus,13:38,12:06,01:32,IC   4344,56.0,92.0,56.0,2025-12-16
Aalborg St.-Aarhus,01:30,00:01,01:29,IC   4192,56.0,92.0,56.0,2025-12-15
